my-workspace-perfectshuffle
solution_idx: 2 | avg: 1185.4796531020681 | fitness: 0.0008435404162216366
solution_idx: 3 | avg: 1187.815877251501 | fitness: 0.0008418813211302664
solution_idx: 4 | avg: 1186.3982655103403 | fitness: 0.0008428872740890604
solution_idx: 5 | avg: 1193.8645763842562 | fitness: 0.0008376159405186513
solution_idx: 6 | avg: 1186.003335557038 | fitness: 0.0008431679490431815
solution_idx: 7 | avg: 1188.2615076717811 | fitness: 0.0008415655927114469
solution_idx: 1 | avg: 1187.469646430954 | fitness: 0.0008421267886767373
solution_idx: 2 | avg: 1187.1187458305537 | fitness: 0.0008423757130550253
solution_idx: 3 | avg: 1188.0600400266844 | fitness: 0.0008417083028712417
solution_idx: 4 | avg: 1188.3315543695796 | fitness: 0.0008415159862775072
solution_idx: 5 | avg: 1187.006671114076 | fitness: 0.0008424552484287564
solution_idx: 6 | avg: 1186.003335557038 | fitness: 0.0008431679490431815
solution_idx: 7 | avg: 1188.3795863909272 | fitness: 0.0008414819738169431
solution_idx: 1 | avg: 1187.006671114076 | fitness: 0.0008424552484287564
solution_idx: 2 | avg: 1185.8879252835222 | fitness: 0.0008432500059066879
solution_idx: 3 | avg: 1187.1827885256837 | fitness: 0.0008423302710123192
solution_idx: 4 | avg: 1188.3789192795198 | fitness: 0.0008414824461934005
solution_idx: 5 | avg: 1187.2041360907272 | fitness: 0.0008423151247542311
solution_idx: 6 | avg: 1188.0833889259507 | fitness: 0.0008416917611347285
solution_idx: 7 | avg: 1189.1454302868578 | fitness: 0.0008409400351971834
solution_idx: 1 | avg: 1187.006671114076 | fitness: 0.0008424552484287564
solution_idx: 2 | avg: 1188.0206804536358 | fitness: 0.000841736188984655
solution_idx: 3 | avg: 1189.7391594396265 | fitness: 0.0008405203712644083
solution_idx: 4 | avg: 1183.498332221481 | fitness: 0.0008449526059939213
solution_idx: 5 | avg: 1187.3122081387592 | fitness: 0.0008422384551807217
solution_idx: 6 | avg: 1186.0206804536358 | fitness: 0.0008431556181781876
solution_idx: 7 | avg: 1188.1921280853903 | fitness: 0.000841614732468699
solution_idx: 1 | avg: 1185.8305537024683 | fitness: 0.0008432908031233827
solution_idx: 2 | avg: 1186.5543695797198 | fitness: 0.0008427763831455968
solution_idx: 3 | avg: 1187.7218145430286 | fitness: 0.0008419479946865725
solution_idx: 4 | avg: 1185.4796531020681 | fitness: 0.0008435404162216366
solution_idx: 5 | avg: 1186.3949299533022 | fitness: 0.0008428896438720967
solution_idx: 6 | avg: 1188.3895930620413 | fitness: 0.0008414748882337224
solution_idx: 7 | avg: 1188.5370246831221 | fitness: 0.0008413705078027432
solution_idx: 1 | avg: 1187.3622414943295 | fitness: 0.0008422029647342257
solution_idx: 2 | avg: 1185.8305537024683 | fitness: 0.0008432908031233827
solution_idx: 3 | avg: 1188.54036024016 | fitness: 0.0008413681465540951
solution_idx: 4 | avg: 1186.6077384923283 | fitness: 0.0008427384784044751
solution_idx: 5 | avg: 1187.106737825217 | fitness: 0.0008423842339838817
solution_idx: 6 | avg: 1187.025350233489 | fitness: 0.0008424419914901557
solution_idx: 7 | avg: 1189.6744496330887 | fitness: 0.0008405660895788871
solution_idx: 1 | avg: 1183.440960640427 | fitness: 0.0008449935681276769
solution_idx: 2 | avg: 1189.104736490994 | fitness: 0.0008409688140263949
solution_idx: 3 | avg: 1189.322881921281 | fitness: 0.0008408145636486528
solution_idx: 4 | avg: 1187.4856571047364 | fitness: 0.000842115434419769
solution_idx: 5 | avg: 1185.8305537024683 | fitness: 0.0008432908031233827
solution_idx: 6 | avg: 1186.4656437625083 | fitness: 0.0008428394073247749
solution_idx: 7 | avg: 1187.2728485657105 | fitness: 0.0008422663764340722
solution_idx: 1 | avg: 1188.707805203469 | fitness: 0.0008412496289017231
solution_idx: 2 | avg: 1186.765176784523 | fitness: 0.0008426266792807712
solution_idx: 3 | avg: 1186.790527018012 | fitness: 0.0008426086804995393
solution_idx: 4 | avg: 1183.440960640427 | fitness: 0.0008449935681276769
